### SHEET: Main
B2	Name
C2	Eve Calius
E2	Sex
F2	Female
G2	Weight
H2	120.0
I2	KV
B3	Race
C3	Neo-Human
E3	Home
F3	Kether
G3	Height
H3	5'3"
M3	Undamaged
Q3	Elemental Resistances
X3	Hard
AA3	Destroyed
AR3	Hard
AU3	Destroyed
BL3	Hard
BO3	Destroyed
B4	Value
G4	Hair
H4	Black
B5	Value
G5	Eyes
H5	Lilac/Teal
I5	Karma
M5	14
AA5	0.0
AU5	0.0
BO5	0.0
B6	Value
G6	Birth Month
H6	9th
I6	10.0
B7	Age
C7	18.0
D7	Life Span
E7	Immortal
G7	Beauty
H7	10.0
K8	Undamaged
M8	Undamaged
Q8	Undamaged
S8	H
U8	D0
X8	Hard
AA8	Destroyed
AH8	H
AJ8	D0
AM8	H
AO8	D0
AR8	Hard
AU8	Destroyed
BB8	H
BD8	D0
BG8	H
BI8	D0
BL8	Hard
BO8	Destroyed
BV8	H
BX8	D0
B9	Attributes
E9	Save Mod
F9	Save DR
G9	Focus Mod
H9	Resist Mod
I9	Regen Mod
K9	8
Q9	8
V9	0.0
AK9	0.0
AP9	0.0
BE9	0.0
BJ9	0.0
BY9	0.0
B10	STR
C10	7.0
D10	2
F10	2
G10	40.0
H10	6.0
I10	7.0
M10	8
AA10	0.0
AU10	0.0
BO10	0.0
B11	DEX
C11	7.0
D11	2
F11	2
G11	Focus
K11	Undamaged
Q11	Undamaged
S11	H
U11	D0
AH11	H
AJ11	D0
AM11	H
AO11	D0
BB11	H
BD11	D0
BG11	H
BI11	D0
BV11	H
BX11	D0
B12	CON
C12	7.0
D12	2
F12	2
G12	60
I12	Distressed
K12	8
Q12	8
V12	0.0
AK12	0.0
AP12	0.0
BE12	0.0
BJ12	0.0
BY12	0.0
B13	INT
C13	7.0
D13	2
F13	2
G13	60.0
I13	Wounded
M13	Undamaged
O13	Undamaged
X13	H
Z13	D0
AC13	H
AE13	D0
AR13	H
AT13	D0
AW13	H
AY13	D0
BL13	H
BN13	D0
BQ13	H
BS13	D0
B14	WIS
C14	7.0
D14	2
F14	2
I14	Unconscious
B15	CHA
C15	7.0
D15	2
F15	2
G15	0.0
I15	Dead
M15	14
O15	14
AA15	0.0
AF15	0.0
AU15	0.0
AZ15	0.0
BO15	0.0
BT15	0.0
G16	Strain
B17	Reflexes
C17	None
D17	Focus Regen
E17	10
F17	Combat Notes
B18	APT Mod
C18	1.0
D18	APT
E18	4
M18	Undamaged
O18	Undamaged
X18	H
Z18	D0
AC18	H
AE18	D0
AR18	H
AT18	D0
AW18	H
AY18	D0
BL18	H
BN18	D0
BQ18	H
BS18	D0
B19	Speed Mod
C19	0.0
D19	Speed
E19	40ft (8)
M19	8
O19	8
AA19	0.0
