### SHEET: Main
B2	Name
C2	Jude Miles
E2	Sex
F2	Male
G2	Weight
H2	210.0
I2	KV
B3	Race
C3	Altered Human
E3	Home
F3	Antioch
G3	Height
H3	6'4"
I3	275.0
M3	Undamaged
Q3	Elemental Resistances
X3	Soft
AA3	Undamaged
AR3	Hard
AU3	Destroyed
B4	Value
C4	I will make it back home to my family.
G4	Hair
H4	Brown
B5	Value
C5	I won't give into my bloodlust, no matter how much I want to.
G5	Eyes
H5	Steel Blue
I5	Karma
M5	12
AA5	7.0
AU5	0.0
B6	Value
C6	Maybe I am stuborn but I don't like to rely on tech.
G6	Birth Month
H6	4th
I6	0.0
B7	Age
C7	38.0
D7	Life Span
E7	Normal
G7	Beauty
H7	7.0
K8	Undamaged
M8	Undamaged
Q8	Missing
S8	H
U8	D0
X8	Soft
AA8	Undamaged
AH8	H
AJ8	U3
AM8	S
AO8	U3
AR8	Soft
AU8	Undamaged
BB8	S
BD8	U3
B9	Attributes
E9	Save Mod
F9	Save DR
K9	7
Q9	7
V9	0.0
AK9	26.0
AP9	14.0
BE9	14.0
B10	STR
C10	11.0
D10	5
E10	1.0
F10	6
G10	Focus Mod
H10	Resist Mod
I10	Regen Mod
M10	7
X10	True
AA10	24.0
AU10	14.0
B11	DEX
C11	9.0
D11	4
E11	2.0
F11	6
G11	50.0
H11	5.0
I11	7.0
K11	Undamaged
Q11	Undamaged
S11	H
U11	D0
AH11	H
AJ11	U3
AM11	H
AO11	U3
BB11	H
BD11	U3
B12	CON
C12	7.0
D12	2
E12	2.0
F12	4
G12	Focus
K12	7
Q12	7
V12	0.0
AK12	26.0
AP12	18.0
BE12	18.0
B13	INT
C13	8.0
D13	3
F13	3
G13	70
I13	Distressed
M13	Undamaged
O13	Undamaged
X13	H
Z13	D0
AC13	H
AE13	D0
AR13	S
AT13	U3
AW13	S
AY13	U3
B14	WIS
C14	8.0
D14	3
F14	3
G14	70.0
I14	Wounded
B15	CHA
C15	7.0
D15	2
F15	2
I15	Unconscious
M15	12
O15	12
AA15	0.0
AF15	0.0
AU15	14.0
AZ15	14.0
G16	13.0
I16	Dead
B17	Reflexes
C17	None
D17	Focus Regen
E17	10
G17	Strain
B18	APT Mod
C18	1.0
D18	APT
E18	5
M18	Undamaged
O18	Undamaged
X18	H
Z18	D0
AC18	H
AE18	D0
AR18	H
AT18	U3
AW18	H
AY18	U3
B19	Speed Mod
C19	0.0
D19	Speed
E19	50ft (10)
F19	50ft (10)
M19	7
O19	7
AA19	0.0
AF19	0.0
AR19	True
AU19	6.0
AW19	True
AZ19	6.0
B20	Unarmed Mod
C20	4.0
D20	Unarmed DMG
E20	14/0/0 : 0/0/0
K21	Weapons & Tools
N21	Condition
S21	Resists
Y21	B
Z21	P
AA21	S
AC21	F
AD21	E
AE21	A
K22	Left Hand
M22	Wrist Blade
N22	Undamaged
Q22	Hard
V22	30.0
Y22	0.0
Z22	0.0
AA22	25.0
AC22	0.0
AD22	0.0
AE22	0.0
K23	Right Hand
M23	Jude's Revolver
N23	Undamaged
Q23	Hard
V23	27.0
Y23	25.0
Z23	22.0
AA23	0.0
AC23	40.0
AD23	10.0
AE23	0.0
A24	Skills
B26	Skills
C26	Skill Level
D26	Governing Attributes
H26	Expertise
I26	Mods
K26	Skill Check
M26	Total Mods
O26	Failed
B27	Athletics
B28	Balance
C28	6.0
D28	DEX
CON
E28	4
F28	2
H28	None
K28	+3d6
M28	0
O28	NO
B29	Swim
C29	4.0
D29	STR
CON
E29	5
F29	2
H29	None
K29	+3d4
M29	0
O29	NO
B30	Jump
C30	6.0
D30	STR
DEX
E30	5
F30	4
H30	None
K30	+5d6
M30	0
O30	NO
B31	Sneak
C31	8.0
D31	DEX
WIS
E31	4
F31	3
H31	None
K31	+4d8
M31	0
O31	NO
B32	Sleight of Hand
C32	20.0
D32	DEX
WIS
E32	4
F32	3
H32	None
K32	+4d20
M32	0
O32	NO
B33	Climb
C33	13.0
D33	STR DEX
CON
E33	5
F33	4
G33	2
H33	None
K33	+3d12
M33	0
O33	NO
B34	Acrobatics
C34	5.0
D34	STR  DEX
WIS
E34	5
F34	4
G34	2
H34	None
K34	+3d4
M34	0
O34	NO
B35	Social Skills
B36	Seduction
C36	1.0
D36	CHA
WIS
E36	2
F36	3
H36	None
K36	+3 Coin
M36	2
O36	NO
B37	Intimidation
C37	13.0
D37	STR
CHA
E37	5
F37	2
H37	None
I37	2.0
K37	+3d12
M37	0
O37	NO
B38	Negotiation
C38	3.0
D38	CHA
INT
E38	2
F38	3
H38	None
K38	+3 Coin
M38	2
O38	NO
B39	Deception
C39	3.0
D39	CHA
INT
E39	2
F39	3
H39	None
K39	+3 Coin
M39	0
O39	NO
B40	Martial Arts
B41	Knives
C41	6.0
D41	DEX
WIS
E41	4
F41	3
H41	None
K41	+4d6
M41	0
O41	NO
B42	Polearms
C42	0.0
D42	STR
DEX
E42	5
F42	4
H42	None
K42	No Skill
M42	0
O42	NO
B43	Swordsmanship
C43	4.0
D43	STR
DEX
E43	5
F43	4
H43	None
K43	+5d4
M43	0
O43	NO
B44	Firearms
C44	20.0
D44	DEX
WIS
E44	4
F44	3
H44	None
K44	+4d20
M44	0
O44	NO
B45	Exotic Weapons
C45	0.0
D45	DEX INT
WIS
E45	4
F45	3
G45	3
H45	None
K45	No Skill
M45	0
O45	NO
B46	Great Weapons
C46	0.0
D46	STR DEX
CON
E46	5
F46	4
G46	2
H46	None
K46	No Skill
M46	0
O46	NO
B47	Throwing
C47	2.0
D47	STR DEX
WIS
E47	5
F47	4
G47	3
H47	None
K47	+4 Coin
M47	0
O47	NO
B48	Archery
C48	0.0
D48	STR  DEX
WIS
E48	5
F48	4
G48	3
H48	None
K48	No Skill
M48	0
O48	NO
B49	Unarmed Combat
C49	6.0
D49	STR  DEX
CON
E49	5
F49	4
G49	2
H49	None
K49	+3d6
M49	0
O49	NO
B50	Performing Arts
B51	Sing
C51	0.0
D51	CHA
WIS
E51	2
F51	3
H51	None
K51	No Skill
M51	2
O51	NO
B52	Music
C52	0.0
D52	CHA
INT
E52	2
F52	3
H52	None
K52	No Skill
M52	2
O52	NO
B53	Drama
C53	0.0
D53	DEX CHA
WIS
E53	4
F53	2
G53	3
H53	None
K53	No Skill
M53	2
O53	NO
B54	Dance
C54	0.0
D54	STR  DEX
CHA
E54	5
F54	4
G54	2
H54	None
K54	No Skill
M54	2
O54	NO
B55	Visual Arts
B56	Sculpt
C56	0.0
D56	DEX CHA
WIS
E56	4
F56	2
G56	3
H56	None
K56	No Skill
M56	0
O56	NO
B57	Paint
C57	0.0
D57	DEX CHA
WIS
E57	4
F57	2
G57	3
H57	None
K57	No Skill
M57	0
O57	NO
B58	Draw
C58	0.0
D58	DEX CHA
WIS
E58	4
F58	2
G58	3
H58	None
K58	No Skill
M58	0
O58	NO
B59	Literature
C59	0.0
D59	INT CHA
WIS
E59	2
F59	3
G59	3
H59	None
K59	No Skill
M59	0
O59	NO
B60	Photography/ Videography
C60	0.0
D60	DEX  CHA
INT
E60	4
F60	2
G60	3
H60	None
K60	No Skill
M60	0
O60	NO
B61	Social Sciences
B62	History
C62	0.0
D62	INT
WIS
E62	3
F62	3
H62	None
K62	No Skill
M62	0
O62	NO
B63	Linguistics
C63	0.0
D63	CHA
INT
E63	2
F63	3
H63	None
K63	No Skill
M63	0
O63	NO
B64	Economics
C64	2.0
D64	INT
WIS
E64	3
F64	3
H64	None
K64	+4 Coin
M64	0
O64	NO
B65	Geography
C65	1.0
D65	INT
WIS
E65	3
F65	3
H65	None
K65	+4 Coin
M65	0
O65	NO
B66	Education
C66	0.0
D66	CHA INT
WIS
E66	2
F66	3
G66	3
H66	None
K66	No Skill
M66	0
O66	NO
B67	Psychology
C67	0.0
D67	CHA INT
WIS
E67	2
F67	3
G67	3
H67	None
K67	No Skill
M67	0
O67	NO
B68	Politics
C68	1.0
D68	CHA INT
WIS
E68	2
F68	3
G68	3
H68	None
K68	+3 Coin
M68	2
O68	NO
B69	Law
C69	5.0
D69	CHA
INT  WIS
E69	2
F69	3
G69	3
H69	None
K69	+3d4
M69	0
O69	NO
B70	Natural Sciences
B71	Biology
C71	0.0
D71	INT
WIS
E71	3
F71	3
H71	None
K71	No Skill
M71	0
O71	NO
B72	Geoscience
C72	0.0
D72	INT
WIS
E72	3
F72	3
H72	None
K72	No Skill
M72	0
O72	NO
B73	Chemistry
C73	0.0
D73	INT
WIS
E73	3
F73	3
H73	None
K73	No Skill
M73	0
O73	NO
B74	Physics
C74	0.0
D74	INT
WIS
E74	3
F74	3
H74	None
K74	No Skill
M74	0
O74	NO
B75	Astronomy
C75	0.0
D75	INT
WIS
E75	3
F75	3
H75	None
K75	No Skill
M75	0
O75	NO
B76	Applied Sciences
B77	Civil Engineering
C77	0.0
D77	INT
WIS
E77	3
F77	3
H77	None
K77	No Skill
M77	0
O77	NO
B78	Animal Husbandry
C78	0.0
D78	INT
WIS
E78	3
F78	3
H78	None
K78	No Skill
M78	0
O78	NO
B79	Agriculture
C79	0.0
D79	INT
WIS
E79	3
F79	3
H79	None
K79	No Skill
M79	0
O79	NO
B80	Electrical Engineering
C80	0.0
D80	INT
WIS
E80	3
F80	3
H80	None
K80	No Skill
M80	0
O80	NO
B81	Software Engineering
C81	0.0
D81	INT
WIS
E81	3
F81	3
H81	None
K81	No Skill
M81	0
O81	NO
B82	Mechanical Engineering
C82	0.0
D82	DEX INT
WIS
E82	4
F82	3
G82	3
H82	None
K82	No Skill
M82	0
O82	NO
B83	Chemical Engineering
C83	0.0
D83	CON INT
WIS
E83	2
F83	3
G83	3
H83	None
K83	No Skill
M83	0
O83	NO
B84	Medicine
C84	0.0
D84	DEX
INT  WIS
E84	4
F84	3
G84	3
H84	None
K84	No Skill
M84	0
O84	NO
B85	Use Vehicle
B86	Sail
C86	0.0
D86	DEX
WIS
E86	4
F86	3
H86	None
K86	No Skill
M86	0
O86	NO
B87	Drive
C87	0.0
D87	DEX
WIS
E87	4
F87	3
H87	None
K87	No Skill
M87	0
O87	NO
B88	Pilot
C88	12.0
D88	DEX INT
WIS
E88	4
F88	3
G88	3
H88	None
K88	+4d12
M88	0
O88	NO
B89	Handle Animal
C89	0.0
D89	DEX CON
CHA
E89	4
F89	2
G89	2
H89	None
K89	No Skill
M89	0
O89	NO
B90	Perception Skills
B91	Social Perception
C91	4.0
D91	CHA
WIS
E91	2
F91	3
H91	None
K91	+3d4
M91	0
O91	NO
B92	Environmental Perception
C92	8.0
D92	INT
WIS
E92	3
F92	3
H92	None
K92	+4d8
M92	0
O92	NO
B93	Paranormal Perception
C93	0.0
D93	CHA INT
WIS
E93	2
F93	3
G93	3
H93	None
K93	No Skill
M93	0
O93	NO
B94	Life Skills
B95	Cooking
C95	0.0
D95	CHA
WIS
E95	2
F95	3
H95	None
K95	No Skill
M95	0
O95	NO
B96	Textiles
C96	0.0
D96	DEX
INT
E96	4
F96	3
H96	None
K96	No Skill
M96	0
O96	NO
B97	Leadership
C97	0.0
D97	CHA INT
WIS
E97	2
F97	3
G97	3
H97	None
K97	No Skill
M97	0
O97	NO
B98	Survival
C98	13.0
D98	DEX CON
WIS
E98	4
F98	2
G98	3
H98	None
K98	+3d12
M98	0
O98	NO
B99	Theory Knowledge
B100	Philosophy
C100	0.0
D100	CHA INT
WIS
E100	2
F100	3
G100	3
H100	None
K100	No Skill
M100	0
O100	NO
B101	Arcane Knowledge
C101	0.0
D101	CHA INT
WIS
E101	2
F101	3
G101	3
H101	None
K101	No Skill
M101	0
O101	NO
B102	Theology
C102	0.0
D102	CHA INT
